fcc_bulk,twin_HCP,IhDh_spine,Ihcenter,Dh_notch_edge,surface111,surface100,IhDh_edge,edge_111_100,edge_111_111,Dh_notch_vertex,IhDh_vertex,tetrahedral_edge,TO_vertex,CO_vertex,Unknown,Temp,Ag,Cu,Pd,Au
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,10.0,3.0,0.0,4.0,0.0,80.0,725.0,1.0,0.0,0.0,0.0
0.0,2.0,3.0,0.0,0.0,3.0,0.0,20.0,3.0,1.0,0.0,6.0,0.0,3.0,0.0,59.0,650.0,1.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,0.0,2.0,0.0,11.0,2.0,1.0,7.0,5.0,0.0,6.0,0.0,64.0,800.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,6.0,0.0,3.0,0.0,79.0,900.0,1.0,0.0,0.0,0.0
10.0,15.0,3.0,0.0,10.0,10.0,0.0,5.0,10.0,0.0,15.0,1.0,0.0,20.0,0.0,1.0,475.0,1.0,0.0,0.0,0.0
9.0,15.0,4.0,0.0,9.0,9.0,0.0,10.0,9.0,0.0,9.0,2.0,0.0,19.0,0.0,5.0,425.0,1.0,0.0,0.0,0.0
1.0,9.0,2.0,0.0,1.0,2.0,0.0,4.0,2.0,1.0,8.0,4.0,0.0,5.0,1.0,60.0,825.0,1.0,0.0,0.0,0.0
10.0,15.0,3.0,0.0,10.0,10.0,0.0,5.0,10.0,0.0,15.0,1.0,0.0,20.0,0.0,1.0,350.0,1.0,0.0,0.0,0.0
0.0,14.0,16.0,1.0,0.0,6.0,0.0,28.0,4.0,0.0,1.0,7.0,0.0,2.0,0.0,21.0,600.0,1.0,0.0,0.0,0.0
10.0,15.0,3.0,0.0,10.0,10.0,0.0,5.0,10.0,0.0,15.0,1.0,0.0,20.0,0.0,1.0,325.0,1.0,0.0,0.0,0.0
10.0,15.0,3.0,0.0,10.0,10.0,0.0,5.0,10.0,0.0,15.0,1.0,0.0,20.0,0.0,1.0,300.0,1.0,0.0,0.0,0.0
0.0,2.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,2.0,13.0,4.0,0.0,0.0,0.0,71.0,850.0,1.0,0.0,0.0,0.0
10.0,15.0,3.0,0.0,10.0,10.0,0.0,5.0,10.0,0.0,15.0,1.0,0.0,20.0,0.0,1.0,375.0,1.0,0.0,0.0,0.0
0.0,0.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,4.0,0.0,1.0,0.0,72.0,775.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,3.0,0.0,12.0,1.0,0.0,5.0,5.0,0.0,2.0,0.0,69.0,700.0,1.0,0.0,0.0,0.0
9.0,15.0,4.0,0.0,9.0,9.0,0.0,10.0,9.0,0.0,9.0,2.0,0.0,19.0,0.0,5.0,400.0,1.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,2.0,8.0,0.0,2.0,0.0,69.0,620.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,6.0,5.0,0.0,5.0,0.0,78.0,630.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,2.0,7.0,9.0,0.0,4.0,0.0,68.0,875.0,1.0,0.0,0.0,0.0
9.0,15.0,4.0,0.0,9.0,9.0,0.0,10.0,9.0,0.0,9.0,2.0,0.0,19.0,0.0,5.0,450.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0,0.0,1.0,9.0,8.0,0.0,2.0,0.0,71.0,750.0,1.0,0.0,0.0,0.0
9.0,15.0,4.0,0.0,9.0,9.0,0.0,10.0,9.0,0.0,9.0,2.0,0.0,19.0,0.0,5.0,550.0,1.0,0.0,0.0,0.0
9.0,15.0,4.0,0.0,9.0,9.0,0.0,10.0,9.0,0.0,9.0,2.0,0.0,19.0,0.0,5.0,525.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,3.0,6.0,8.0,0.0,1.0,0.0,74.0,660.0,1.0,0.0,0.0,0.0
0.0,15.0,15.0,1.0,0.0,6.0,0.0,24.0,6.0,0.0,5.0,5.0,0.0,0.0,0.0,23.0,575.0,1.0,0.0,0.0,0.0
9.0,15.0,4.0,0.0,9.0,9.0,0.0,10.0,9.0,0.0,9.0,2.0,0.0,19.0,0.0,5.0,670.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,5.0,0.0,3.0,0.0,79.0,640.0,1.0,0.0,0.0,0.0
13.0,13.0,2.0,0.0,1.0,13.0,1.0,5.0,5.0,2.0,6.0,0.0,0.0,17.0,2.0,20.0,610.0,1.0,0.0,0.0,0.0
10.0,15.0,3.0,0.0,10.0,10.0,0.0,5.0,10.0,0.0,15.0,1.0,0.0,20.0,0.0,1.0,500.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,8.0,6.0,0.0,6.0,0.0,74.0,690.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,12.0,4.0,0.0,6.0,0.0,73.0,680.0,1.0,0.0,0.0,0.0
